id,question,A,B,C,Answerkey
1,Look at the black cat on the blanket.,blanket,block,blank,A
2,The clock on the wall shows five o'clock.,clock,club,clog,A
3,He used a broom to clean the floor.,broom,bride,blue,A
4,The beautiful bride wore a white dress.,bride,brain,bright,A
5,A little crab is walking on the beach.,crab,crocodile,crack,A
6,We saw a big green crocodile at the zoo.,crocodile,crab,cross,A
7,A colorful flag is waving in the wind.,flag,fly,flute,A
8,The glass on the table is full of juice.,glass,grass,globe,A
9,The green frog jumped into the pond.,frog,fraud,Friday,A
10,"Today is Friday, the best day of the week.",Friday,fried,Sunday,A
11,The grass is always green in spring.,grass,green,grab,A
12,Please put the food on the white plate.,plate,blade,clay,A
13,Children love to play games together.,play,blade,clay,A
14,The playground has a long blue slide.,slide,sleep,snow,A
15,The baby is sleeping in the bed.,sleeping,speaking,speeding,A
16,The boy plays a big drum in the band.,drum,drone,tram,A
17,She bought a beautiful new dress.,dress,address,jazz,A
18,A big red truck is driving on the road.,truck,chuck,chalk,A
19,Birds build their nests in the tall tree.,tree,three,treat,A
20,She has a sweet smile on her face.,smile,style,snail,A
21,Look at the smoke coming out of the chimney.,smoke,smog,stalk,A
22,Be careful! There is a snake in the grass.,snake,snail,skate,A
23,The winter snow is soft and white.,snow,slow,smile,A
24,He eats soup with a big spoon.,spoon,spam,stew,A
25,Look at that small spot on your shirt.,spot,bot,slot,A
26,The kids love to play on the swing.,swing,swim,swear,A
27,I like to swim in the pool during summer.,swim,swing,stamp,A
28,The car must stop at the red light.,stop,stamp,start,A
29,Please put a stamp on the letter.,stamp,stop,slam,A
30,The horse can run very fast.,fast,fat,feast,A
31,Which word has the same beginning sound pattern as 'scale'?,school,smart,spray,A
32,Which word has the same beginning sound pattern as 'black'?,blanket,broom,crab,A
33,Which word has the same beginning sound pattern as 'clock'?,club,flag,glass,A
34,Which word has the same beginning sound pattern as 'broom'?,bride,clock,globe,A
35,Which word has the same beginning sound pattern as 'crab'?,crocodile,frog,green,A
36,Which word has the same beginning sound pattern as 'fly'?,flag,plate,slide,A
37,Which word has the same beginning sound pattern as 'globe'?,glass,black,club,A
38,Which word has the same beginning sound pattern as 'frog'?,Friday,drum,truck,A
39,Which word has the same beginning sound pattern as 'green'?,grass,play,sleep,A
40,Which word has the same beginning sound pattern as 'plate'?,play,smile,snake,A
41,Which word has the same beginning sound pattern as 'slide'?,sleep,spoon,spot,A
42,Which word has the same beginning sound pattern as 'drum'?,dress,stop,stamp,A
43,Which word has the same beginning sound pattern as 'truck'?,tree,shell,ship,A
44,Which word has the same beginning sound pattern as 'smile'?,smoke,chick,lunch,A
45,Which word has the same beginning sound pattern as 'snake'?,snow,phone,white,A
46,Which word has the same beginning sound pattern as 'spoon'?,spot,this,that,A
47,Which word has the same beginning sound pattern as 'swing'?,swim,three,think,A
48,Which word has the same beginning sound pattern as 'stop'?,stamp,king,long,A
49,Which word has the same beginning sound pattern as 'shell'?,ship,wind,hand,A
50,Which word has the same beginning sound pattern as 'chick'?,catch,belt,lamp,A
